no;filename;tool;timeout;init;inv;next;args
1;MC4_3_correct.tla;apalache;1h;;TargetHeightOnSuccessInv;;--length=5
2;MC4_3_correct.tla;apalache;1h;;StoredHeadersAreVerifiedOrNotTrustedInv;;--length=5
3;MC4_3_correct.tla;apalache;1h;;CorrectnessInv;;--length=5
4;MC4_3_correct.tla;apalache;1h;;NoTrustOnFaultyBlockInv;;--length=5
5;MC4_3_correct.tla;apalache;1h;;ProofOfChainOfTrustInv;;--length=5
6;MC4_3_correct.tla;apalache;1h;;NoFailedBlocksOnSuccessInv;;--length=5
7;MC4_3_correct.tla;apalache;1h;;Complexity;;--length=5
8;MC4_3_correct.tla;apalache;1h;;ApiPostInv;;--length=5
9;MC4_4_correct.tla;apalache;1h;;TargetHeightOnSuccessInv;;--length=7
10;MC4_4_correct.tla;apalache;1h;;CorrectnessInv;;--length=7
11;MC4_4_correct.tla;apalache;1h;;NoTrustOnFaultyBlockInv;;--length=7
12;MC4_4_correct.tla;apalache;1h;;ProofOfChainOfTrustInv;;--length=7
13;MC4_4_correct.tla;apalache;1h;;NoFailedBlocksOnSuccessInv;;--length=7
14;MC4_4_correct.tla;apalache;1h;;Complexity;;--length=7
15;MC4_4_correct.tla;apalache;1h;;ApiPostInv;;--length=7
16;MC4_5_correct.tla;apalache;1h;;TargetHeightOnSuccessInv;;--length=11
17;MC4_5_correct.tla;apalache;1h;;CorrectnessInv;;--length=11
18;MC4_5_correct.tla;apalache;1h;;NoTrustOnFaultyBlockInv;;--length=11
19;MC4_5_correct.tla;apalache;1h;;ProofOfChainOfTrustInv;;--length=11
20;MC4_5_correct.tla;apalache;1h;;NoFailedBlocksOnSuccessInv;;--length=11
21;MC4_5_correct.tla;apalache;1h;;Complexity;;--length=11
22;MC4_5_correct.tla;apalache;1h;;ApiPostInv;;--length=11
23;MC5_5_correct.tla;apalache;1h;;TargetHeightOnSuccessInv;;--length=11
24;MC5_5_correct.tla;apalache;1h;;CorrectnessInv;;--length=11
25;MC5_5_correct.tla;apalache;1h;;NoTrustOnFaultyBlockInv;;--length=11
26;MC5_5_correct.tla;apalache;1h;;ProofOfChainOfTrustInv;;--length=11
27;MC5_5_correct.tla;apalache;1h;;NoFailedBlocksOnSuccessInv;;--length=11
28;MC5_5_correct.tla;apalache;1h;;Complexity;;--length=11
29;MC5_5_correct.tla;apalache;1h;;ApiPostInv;;--length=11
30;MC4_3_faulty.tla;apalache;1h;;TargetHeightOnSuccessInv;;--length=5
31;MC4_3_faulty.tla;apalache;1h;;StoredHeadersAreVerifiedOrNotTrustedInv;;--length=5
32;MC4_3_faulty.tla;apalache;1h;;CorrectnessInv;;--length=5
33;MC4_3_faulty.tla;apalache;1h;;NoTrustOnFaultyBlockInv;;--length=5
34;MC4_3_faulty.tla;apalache;1h;;ProofOfChainOfTrustInv;;--length=5
35;MC4_3_faulty.tla;apalache;1h;;NoFailedBlocksOnSuccessInv;;--length=5
36;MC4_3_faulty.tla;apalache;1h;;Complexity;;--length=5
37;MC4_3_faulty.tla;apalache;1h;;ApiPostInv;;--length=5
38;MC4_4_faulty.tla;apalache;1h;;TargetHeightOnSuccessInv;;--length=7
39;MC4_4_faulty.tla;apalache;1h;;StoredHeadersAreVerifiedOrNotTrustedInv;;--length=7
40;MC4_4_faulty.tla;apalache;1h;;CorrectnessInv;;--length=7
41;MC4_4_faulty.tla;apalache;1h;;NoTrustOnFaultyBlockInv;;--length=7
42;MC4_4_faulty.tla;apalache;1h;;ProofOfChainOfTrustInv;;--length=7
43;MC4_4_faulty.tla;apalache;1h;;NoFailedBlocksOnSuccessInv;;--length=7
44;MC4_4_faulty.tla;apalache;1h;;Complexity;;--length=7
45;MC4_4_faulty.tla;apalache;1h;;ApiPostInv;;--length=7
46;MC4_5_faulty.tla;apalache;1h;;TargetHeightOnSuccessInv;;--length=11
47;MC4_5_faulty.tla;apalache;1h;;StoredHeadersAreVerifiedOrNotTrustedInv;;--length=11
48;MC4_5_faulty.tla;apalache;1h;;CorrectnessInv;;--length=11
49;MC4_5_faulty.tla;apalache;1h;;NoTrustOnFaultyBlockInv;;--length=11
50;MC4_5_faulty.tla;apalache;1h;;ProofOfChainOfTrustInv;;--length=11
51;MC4_5_faulty.tla;apalache;1h;;NoFailedBlocksOnSuccessInv;;--length=11
52;MC4_5_faulty.tla;apalache;1h;;Complexity;;--length=11
53;MC4_5_faulty.tla;apalache;1h;;ApiPostInv;;--length=11

