no,filename,tool,timeout,init,inv,next,args
1,MC4_3_correct.tla,apalache,1h,,PositiveBeforeTrustedHeaderExpires,,--length=30
2,MC4_3_correct.tla,apalache,1h,,CorrectnessInv,,--length=30
3,MC4_3_correct.tla,apalache,1h,,PrecisionInv,,--length=30
4,MC4_3_correct.tla,apalache,1h,,SuccessOnCorrectPrimaryAndChainOfTrust,,--length=30
5,MC4_3_correct.tla,apalache,1h,,NoFailedBlocksOnSuccessInv,,--length=30
6,MC4_3_correct.tla,apalache,1h,,StoredHeadersAreVerifiedOrNotTrustedInv,,--length=30
7,MC4_3_correct.tla,apalache,1h,,CorrectPrimaryAndTimeliness,,--length=30
8,MC4_3_correct.tla,apalache,1h,,Complexity,,--length=30
9,MC4_3_faulty.tla,apalache,1h,,PositiveBeforeTrustedHeaderExpires,,--length=30
10,MC4_3_faulty.tla,apalache,1h,,CorrectnessInv,,--length=30
11,MC4_3_faulty.tla,apalache,1h,,PrecisionInv,,--length=30
12,MC4_3_faulty.tla,apalache,1h,,SuccessOnCorrectPrimaryAndChainOfTrust,,--length=30
13,MC4_3_faulty.tla,apalache,1h,,NoFailedBlocksOnSuccessInv,,--length=30
14,MC4_3_faulty.tla,apalache,1h,,StoredHeadersAreVerifiedOrNotTrustedInv,,--length=30
15,MC4_3_faulty.tla,apalache,1h,,CorrectPrimaryAndTimeliness,,--length=30
16,MC4_3_faulty.tla,apalache,1h,,Complexity,,--length=30
17,MC5_5_correct.tla,apalache,1h,,PositiveBeforeTrustedHeaderExpires,,--length=30
18,MC5_5_correct.tla,apalache,1h,,CorrectnessInv,,--length=30
19,MC5_5_correct.tla,apalache,1h,,PrecisionInv,,--length=30
20,MC5_5_correct.tla,apalache,1h,,SuccessOnCorrectPrimaryAndChainOfTrust,,--length=30
21,MC5_5_correct.tla,apalache,1h,,NoFailedBlocksOnSuccessInv,,--length=30
22,MC5_5_correct.tla,apalache,1h,,StoredHeadersAreVerifiedOrNotTrustedInv,,--length=30
23,MC5_5_correct.tla,apalache,1h,,CorrectPrimaryAndTimeliness,,--length=30
24,MC5_5_correct.tla,apalache,1h,,Complexity,,--length=30
25,MC5_5_faulty.tla,apalache,1h,,PositiveBeforeTrustedHeaderExpires,,--length=30
26,MC5_5_faulty.tla,apalache,1h,,CorrectnessInv,,--length=30
27,MC5_5_faulty.tla,apalache,1h,,PrecisionInv,,--length=30
28,MC5_5_faulty.tla,apalache,1h,,SuccessOnCorrectPrimaryAndChainOfTrust,,--length=30
29,MC5_5_faulty.tla,apalache,1h,,NoFailedBlocksOnSuccessInv,,--length=30
30,MC5_5_faulty.tla,apalache,1h,,StoredHeadersAreVerifiedOrNotTrustedInv,,--length=30
31,MC5_5_faulty.tla,apalache,1h,,CorrectPrimaryAndTimeliness,,--length=30
32,MC5_5_faulty.tla,apalache,1h,,Complexity,,--length=30
33,MC7_5_faulty.tla,apalache,10h,,PositiveBeforeTrustedHeaderExpires,,--length=30
34,MC7_5_faulty.tla,apalache,10h,,CorrectnessInv,,--length=30
35,MC7_5_faulty.tla,apalache,10h,,PrecisionInv,,--length=30
36,MC7_5_faulty.tla,apalache,10h,,SuccessOnCorrectPrimaryAndChainOfTrust,,--length=30
37,MC7_5_faulty.tla,apalache,10h,,NoFailedBlocksOnSuccessInv,,--length=30
38,MC7_5_faulty.tla,apalache,10h,,StoredHeadersAreVerifiedOrNotTrustedInv,,--length=30
39,MC7_5_faulty.tla,apalache,10h,,CorrectPrimaryAndTimeliness,,--length=30
40,MC7_5_faulty.tla,apalache,10h,,Complexity,,--length=30
41,MC4_7_faulty.tla,apalache,10h,,PositiveBeforeTrustedHeaderExpires,,--length=30
42,MC4_7_faulty.tla,apalache,10h,,CorrectnessInv,,--length=30
43,MC4_7_faulty.tla,apalache,10h,,PrecisionInv,,--length=30
44,MC4_7_faulty.tla,apalache,10h,,SuccessOnCorrectPrimaryAndChainOfTrust,,--length=30
45,MC4_7_faulty.tla,apalache,10h,,NoFailedBlocksOnSuccessInv,,--length=30
46,MC4_7_faulty.tla,apalache,10h,,StoredHeadersAreVerifiedOrNotTrustedInv,,--length=30
47,MC4_7_faulty.tla,apalache,10h,,CorrectPrimaryAndTimeliness,,--length=30
48,MC4_7_faulty.tla,apalache,10h,,Complexity,,--length=30
